"~id","~start_node_id","~end_node_id","~relationship_type","rel_class","from_id","to_id","id","rel_id"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1155176602955415579","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:27","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:41","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:218","0rh7bRO0L9fg1NzgGKU$Ut","1NsDI1QVHFMfwizftDPlfC:IfcMaterial:218->0rh7bRO0L9fg1NzgGKU$Ut","1NsDI1QVHFMfwizftDPlfC"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1157428402769100827","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:27","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:42","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:218","3roxUKbVv98xiUcl22_T07","1NsDI1QVHFMfwizftDPlfC:IfcMaterial:218->3roxUKbVv98xiUcl22_T07","1NsDI1QVHFMfwizftDPlfC"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1159680202582786075","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:27","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:43","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:218","0Lvk$Qa81D5et3l3a4S9Vk","1NsDI1QVHFMfwizftDPlfC:IfcMaterial:218->0Lvk$Qa81D5et3l3a4S9Vk","1NsDI1QVHFMfwizftDPlfC"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1161932002396471323","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:27","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:44","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:218","2ddLgAnQf4mBfh5IpUp54U","1NsDI1QVHFMfwizftDPlfC:IfcMaterial:218->2ddLgAnQf4mBfh5IpUp54U","1NsDI1QVHFMfwizftDPlfC"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1164183802210156571","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:27","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:45","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:218","2fjJuPht9EIQaZQYZfC1Op","1NsDI1QVHFMfwizftDPlfC:IfcMaterial:218->2fjJuPht9EIQaZQYZfC1Op","1NsDI1QVHFMfwizftDPlfC"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152924803141730332","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:28","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:48","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:347","2r_8UEywH9_RLHe8z$Xa8J","0h96c29SfAxQbCDOLFZN7y:IfcMaterial:347->2r_8UEywH9_RLHe8z$Xa8J","0h96c29SfAxQbCDOLFZN7y"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1155176602955415580","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:28","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:49","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:347","2cc4uJUVv5BevbidUpn1H3","0h96c29SfAxQbCDOLFZN7y:IfcMaterial:347->2cc4uJUVv5BevbidUpn1H3","0h96c29SfAxQbCDOLFZN7y"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1155177702467043357","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:29","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:36","CONTAINED_IN","IfcRelContainedInSpatialStructure","1Ano2ZUxnEIvVQ_beukl8b","0DyViLJJ175RvWQi1rE7a6","32VVuS88fAuuHaSNYFaS2D:1Ano2ZUxnEIvVQ_beukl8b->0DyViLJJ175RvWQi1rE7a6","32VVuS88fAuuHaSNYFaS2D"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1157429502280728605","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:29","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:37","CONTAINED_IN","IfcRelContainedInSpatialStructure","1Ano2ZUxnEIvVQ_beukl8b","3SGBcf7Lv0r80vKtUCgOpf","32VVuS88fAuuHaSNYFaS2D:1Ano2ZUxnEIvVQ_beukl8b->3SGBcf7Lv0r80vKtUCgOpf","32VVuS88fAuuHaSNYFaS2D"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1159681302094413853","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:29","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:38","CONTAINED_IN","IfcRelContainedInSpatialStructure","1Ano2ZUxnEIvVQ_beukl8b","3oNJ9yHi5FJuFnK8yg68Yt","32VVuS88fAuuHaSNYFaS2D:1Ano2ZUxnEIvVQ_beukl8b->3oNJ9yHi5FJuFnK8yg68Yt","32VVuS88fAuuHaSNYFaS2D"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1164184901721784349","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:29","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:39","CONTAINED_IN","IfcRelContainedInSpatialStructure","1Ano2ZUxnEIvVQ_beukl8b","2gTJhghMT81QThk15l2VwR","32VVuS88fAuuHaSNYFaS2D:1Ano2ZUxnEIvVQ_beukl8b->2gTJhghMT81QThk15l2VwR","32VVuS88fAuuHaSNYFaS2D"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152925902653358109","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:29","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:46","CONTAINED_IN","IfcRelContainedInSpatialStructure","1Ano2ZUxnEIvVQ_beukl8b","0pFmhV8oD1dB40_b4pscr8","32VVuS88fAuuHaSNYFaS2D:1Ano2ZUxnEIvVQ_beukl8b->0pFmhV8oD1dB40_b4pscr8","32VVuS88fAuuHaSNYFaS2D"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1161933101908099101","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:29","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:47","CONTAINED_IN","IfcRelContainedInSpatialStructure","1Ano2ZUxnEIvVQ_beukl8b","3dkFAzOGrAIuOzY_RdrdVv","32VVuS88fAuuHaSNYFaS2D:1Ano2ZUxnEIvVQ_beukl8b->3dkFAzOGrAIuOzY_RdrdVv","32VVuS88fAuuHaSNYFaS2D"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152927002164985886","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:30","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:29","AGGREGATES","IfcRelAggregates","0c$N1CTon2BB2Sp89385G8","1Ano2ZUxnEIvVQ_beukl8b","2Z0bwx$9T0uvCFhebTd6KT:0c$N1CTon2BB2Sp89385G8->1Ano2ZUxnEIvVQ_beukl8b","2Z0bwx$9T0uvCFhebTd6KT"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152921504606847036","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:60","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:30","DEFINED_BY_PROPERTIES","IfcRelDefinesByProperties","18DB$FpSH4QhNntrrSRVGz","0c$N1CTon2BB2Sp89385G8","141p4IPfrBnRJ5dWbakDZK:18DB$FpSH4QhNntrrSRVGz->0c$N1CTon2BB2Sp89385G8","141p4IPfrBnRJ5dWbakDZK"
